,data,label
0,"$50,000.",0
1,1nclud1ng,0
2,members,1
3,"29,",0
4,can,1
5,process,1
6,DDT,1
7,thls,0
8,new,1
9,another,1
10,polltlcal,0
11,from,1
12,"Callahan,",1
13,and,1
14,5710,0
15,"Pennsylvanla,",0
16,the,1
17,more,1
18,dlscuss,0
19,are,1
20,to,1
21,1ndustry,0
22,a,1
23,an,1
24,stc,0
25,questlons,0
26,deflclencles,0
27,that,1
28,parts,1
29,January,1
30,the,1
31,dlrectly,0
32,"CommerCE,",0
33,hazardous,1
34,followlng,0
35,studles.,1
36,chlorlne,0
37,actlve,1
38,who,1
39,for,1
40,requlrements,0
41,to,1
42,we,1
43,the,1
44,of,1
45,o,1
46,tarlff,0
47,the,1
48,companles,0
49,chemlcal,0
50,appolnted,0
51,cm,0
52,approved,1
53,on,1
54,and,1
55,most,1
56,Group.,1
57,ﬁlled,1
58,revealed,1
59,r,0
60,identifying,0
61,modlfy,0
62,the,1
63,"""absolute",1
64,emergencles,0
65,ITC,1
66,posltlon,0
67,a,1
68,hazard,1
69,partner,1
70,Legal,1
71,delegate,1
72,BEEN,1
73,039570,0
74,*prlod,1
75,waste.,1
76,for,1
77,maklng,0
78,1n,0
79,Th1:,0
80,and,1
81,unlfom,1
82,reauthorlzatlon,0
83,gas,1
84,that,1
85,Morgan,1
86,staff,1
87,am,1
88,up,1
89,report,1
90,have,1
91,provlslons,0
92,of,1
93,will,1
94,Canadlan,1
95,contlnuous,0
96,mu,1
97,1nventors,0
98,Monltor,1
99,aware,1
100,approved,1
101,for,1
102,will,1
103,will,1
104,and,1
105,negatlve.,1
106,no,1
107,are,1
108,actlvlt,0
109,next,1
110,Works,1
111,and,1
112,year.,1
113,the,1
114,the,1
115,would,1
116,Weaver.,1
117,year,1
118,The,1
119,an,1
120,THE,1
121,address,1
122,more,1
123,became,1
124,Commlttee,0
125,obtaln,1
126,also,1
127,Advlsory,0
128,and,1
129,presently,1
130,Hill,1
131,reduce,1
132,publlc,0
133,held,1
134,nothlng,0
135,solutlon,1
136,Xqulvalency,0
137,Victims,1
138,much,1
139,followed,1
140,Layer.,1
141,the,1
142,and,1
143,attempt,0
144,chemlcal,0
145,both,1
146,m,0
147,and,1
148,to,1
149,does,1
150,and,1
151,the,1
152,Alternatlves,0
153,the,1
154,announcement,0
155,ready,1
156,will,1
157,for,1
158,"representatlves,",0
159,Significant,0
160,publlc.,0
161,real,1
162,presldent,1
163,have,1
164,two,1
165,1:5,0
166,buylng,0
167,reference,1
168,1nventlons.,0
169,1:,0
170,on,1
171,x,0
172,pump,1
173,wlthout,1
174,so,1
175,broadenlng,0
176,1:,0
177,vltally,0
178,"actlon"";",1
179,to,1
180,the,1
181,the,1
182,these,1
183,key,1
184,we,1
185,as,1
186,of,1
187,envlronmental,0
188,Hlth,0
189,COMMITTEE,1
190,and,1
191,countervallable.,0
192,Flnance,1
193,"chemlcals,",0
194,maklng,0
195,of,1
196,DTS,1
197,the,1
198,were,1
199,The,1
200,stage,1
201,a,1
202,have,1
203,has,1
204,a,1
205,199471995,0
206,report,1
207,Training,1
208,Th1:,0
209,Safety,1
210,workshop,0
211,pecullarly,0
212,ave,1
213,system,0
214,pollcles,0
215,mu,1
216,There,1
217,1980,0
218,1nd1cated,0
219,was,1
220,Commlttee,0
221,klnd,0
222,"health,",1
223,CMA/DCITA,1
224,companles,0
225,Hlth,0
226,sponsorshlp,0
227,assume,1
228,eaergency,1
229,llkely,0
230,of,1
231,receptlon,0
232,Alr,1
233,Natlonal,1
234,of,1
235,he,1
236,the,1
237,at,1
238,are,1
239,addltlonal,0
240,a,1
241,conventlonal,0
242,the,1
243,last,1
244,the,1
245,The,1
246,of,1
247,"""smog""",1
248,avaliable,1
249,on,1
250,lltlgatlon,0
251,cases,1
252,5.,0
253,"75,",0
254,ENVIRONMENTAL,1
255,"1979,",0
256,MEMBER,1
257,1nfomed,0
258,1nv1ted,0
259,and,1
260,would,1
261,extent,1
262,leglslators,0
263,of,1
264,termlnated,0
265,was,1
266,backbone,1
267,and,1
268,be,1
269,15,0
270,the,1
271,"""Chrlstmas",0
272,budget,1
273,several,1
274,Ccmalmyaa,0
275,majorlty,0
276,tha,1
277,11:50712mn,0
278,track,1
279,Ullman,0
280,by,0
281,compared,1
282,51x,0
283,Commlttee,0
284,EXHIBIT,1
285,"1992,",0
286,unproved,1
287,the,1
288,to,1
289,the,1
290,labellng,0
291,bulldlng,0
292,of,1
293,testlng,0
294,for,1
295,number,1
296,AAR',1
297,"result,",1
298,Amerlcas,0
299,Mr.,1
300,Anaconda,1
301,text,1
302,up,1
303,by,0
304,for,1
305,"CommlttEE,",0
306,of,1
307,countrles,0
308,producers,0
309,May,1
310,hlghllghted:,0
311,a,1
312,be,1
313,pemlttee,1
314,generate,1
315,rule,1
316,The,1
317,taklng,0
318,coal,1
319,1:,0
320,has,1
321,Board,1
322,the,1
323,imminent,1
324,Speclallst,0
325,W.,1
326,Commlsslon,0
327,results;,1
328,issue.,1
329,and,1
330,Health,1
331,solld,1
332,snow,1
333,careful,1
334,Health,1
335,A,1
336,most,1
337,draft,1
338,Current,1
339,lssue,1
340,toxlclty,0
341,today,1
342,Common,1
343,Quallty,0
344,from,1
345,competitive,1
346,approach,1
347,"recovery,",1
348,r-carbons,0
349,Dlalkyl,0
350,be,1
351,modlfy,0
352,regulatlon,1
353,be,1
354,of,1
355,commlttee,0
356,program,1
357,tlme/Volume,0
358,Chemlcal,0
359,039599,0
360,Che,1
361,Allyl,0
362,exmm:,1
363,measures,1
364,1::,0
365,to,1
366,CMA'S,0
367,7,0
368,sate,1
369,been,1
370,"""yes",1
371,many,1
372,leglslatlve,0
373,antkdumplng,0
374,tax,1
375,dlstrlbutlon,0
376,Either,1
377,Relatlons,1
378,been,1
379,of,1
380,WILLIAM,1
381,could,1
382,the,1
383,Will,1
384,CRAC'S,0
385,Sun,1
386,of,1
387,1ntenslve,0
388,on,1
389,Hlth,0
390,on,1
391,and,1
392,1nvolved,0
393,Affalrs,0
394,Exemtlon,0
395,to,1
396,Tltles,0
397,Money:,1
398,had,1
399,"51,915",0
400,are,1
401,they,1
402,"sarln""",0
403,Commlttee,0
404,asked,1
405,1:5,0
406,synthetlc,0
407,governaent,0
408,Safety,1
409,039159,0
410,by,0
411,the,1
412,extenslons,0
413,tank,1
414,fund.,1
415,development,0
416,scope,1
417,responslble,0
418,call,1
419,exposure,1
420,may,1
421,bagln,1
422,to,1
423,"date,",1
424,several,1
425,1n,0
426,Willlam,0
427,testlng.,0
428,The,1
429,to,1
430,comments,1
431,of,1
432,1nfomatlon.,0
433,durlng,0
434,and,1
435,can,1
436,1n,0
437,proposal,1
438,appears,1
439,Cozporatlon,0
440,u.,0
441,the,1
442,amount,1
443,declslon,0
444,Government's,0
445,our,1
446,the,1
447,House,1
448,a,1
449,to,1
450,opportunlty,0
451,used,1
452,well,1
453,the,1
454,been,1
455,for,1
456,has,1
457,testlfy,0
458,of,1
459,home,1
460,COMMITTEE,1
461,posltlon,0
462,the,1
463,CARR,1
464,should,1
465,for,1
466,1n,0
467,"1,",0
468,commlttlng,0
469,Chlorlde,0
470,on,1
471,More,1
472,Southern,1
473,compmmms,0
474,communlcatlons,0
475,"grounds,",1
476,to,1
477,1n,0
478,presents,1
479,Vice,1
480,actlvltles:,0
